"GID","GeneticGroup","BRNHT1","CGMS1","CGMS2","DM","HI","logFYLD","logRTNO","logTOPYLD","MCMDS","PLTHT"
"I960590:250090800","nrTP_plus_IITA",0.447408717956006,-0.0466760574090423,-0.0176160212405346,0.353038184068207,-0.0650320438138108,-0.00807652679635734,-0.0597135794021904,0.21714866877243,-0.304157866560181,6.41964358190269
"I960595:250300544","nrTP_plus_IITA",1.37245587591953,-0.222352988688743,0.0322343833466823,2.69446588093507,0.0061069390949615,0.0589671208908272,0.0429893000613167,0.0281383128415175,-0.61623080345659,11.2394820860528
"I960596:250300528","nrTP_plus_IITA",-0.251344552554905,-0.606333628051003,-0.0436578404473136,2.55018869844252,-0.011273629245729,0.0163902934151169,-0.00296154764303051,-0.00354715089520197,0.138451341648269,4.30228555534933
"I960603:250300536","nrTP_plus_IITA",-4.2499105124442,-0.296459857263407,-0.0267605422656017,-1.70780623843377,0.069104767509921,0.342645834424762,0.265213891628476,0.0847785397755646,0.234173855619932,-8.52951390854746
"I960619:250300526","nrTP_plus_IITA",2.47656951388628,-0.0531656592516054,-0.0179771841130701,0.764629700968812,-0.0835793272976242,-0.0889489012025457,-0.146456955801421,0.179922327737012,-0.157893973200854,12.4031547489768
"I960804:250300529","nrTP_plus_IITA",0.229586298114991,0.0281356351483115,-0.0336242783141468,1.34251106430867,0.0225450463066129,0.168432812684264,0.129211538249241,0.182690168344308,-0.0282506264608066,1.44762603546054
"I960860:250164032","nrTP_plus_IITA",2.77670542162241,0.109897048768183,0.0377712410536049,0.79961910644602,0.0517730356658727,0.161503429971922,0.121654138704761,-0.0269928953480563,-0.38184590951924,3.05417482900095
"I960869:250300548","nrTP_plus_IITA",1.59362393725801,-0.324029121905597,-0.0305728046839959,5.50634695928809,0.00149331511351161,0.0610607854450907,0.0779236599567633,0.0516701275059221,-0.334880472597922,-0.492500964949145
"I960963:250300550","nrTP_plus_IITA",0.886662048468004,0.274152381279943,-0.0389945404924058,-0.913497002037341,0.0368571573517723,0.206761192234396,0.165590684580565,0.115787719554719,-0.397846426548014,-2.2699394935029
"I960986:250300524","nrTP_plus_IITA",-1.40299594634932,-0.143838999233678,-0.0183779363771045,-1.96123704116226,0.0225714551595784,0.112544231667383,0.0715906385590551,0.0898735128212728,-0.0263675083712838,3.39920663764438
"I961039:250090801","nrTP_plus_IITA",0.895333989216219,-0.414674934541569,0.0898506929420702,-0.0438137136370288,0.0192344467285497,0.0368568933247735,0.0361223605361128,0.0107906858130185,0.510593215861948,4.76114621944797
"I961087:250090813","nrTP_plus_IITA",-0.620085009039039,-0.268728427584325,-0.02991723444397,-1.11367129536833,0.01160290955498,0.13654286441352,0.174775658351623,0.048366283570171,-0.480496659576899,-6.29513714681283
"I961089A:250300537","nrTP_plus_IITA",5.31140532987583,0.207979970434445,0.0561334393277203,-0.0836008586190285,0.0573851481597287,0.0616812948089304,0.0946907244351074,-0.149649519604316,-0.338406125998082,5.15263057502667
"I961165:250300541","nrTP_plus_IITA",4.16957941321933,-0.348771173178884,-0.0416161887477278,-1.72843072656843,0.00955403830978058,0.039045824922364,-0.0064939095840317,-0.0443574263672256,-0.209090435716968,-0.198560767103767
"I961317:250300534","nrTP_plus_IITA",-1.01468873037962,-0.214289718261836,0.0236735672889592,-0.667087609128291,0.0223973488133496,0.0375060611757901,0.0322367656283494,-0.0562938618928128,0.467411586990029,-6.04852139114488
"I961427:250300542","nrTP_plus_IITA",7.54429631072701,-0.00492437071151669,0.0687962961766542,0.928485301308691,0.0125975629403492,-0.0470849731816599,-0.0346918308076023,-0.0739804269164391,-0.281457981297202,14.6297756112847
"I961431:250300538","nrTP_plus_IITA",1.51073120520993,-0.511318271481022,-0.00334526608524798,-1.34181269628629,-0.0109880759071505,-0.0567391528470063,-0.0686084931032028,0.00857770946614796,-0.256299948261373,1.3370961190245
"I961439:250300549","nrTP_plus_IITA",3.60054209783538,-0.359422385286906,0.0138339653445426,2.60842757818197,0.0195411256580266,0.0320869007865073,0.109869381475399,-0.106707242925735,-0.164935072987137,3.92846604547916
"I961551:250300531","nrTP_plus_IITA",-0.250292032407796,-0.127695655450012,-0.0778548096196015,1.76315972931899,-0.0272513326421935,-0.0486622175540243,0.0187950622918174,0.0306918223229513,0.127720660938736,3.09098793787001
"I961556:250090808","nrTP_plus_IITA",3.08402385817339,-0.188726680374313,-0.0191362169375256,2.53780227651066,0.04447915871811,0.0986192537281828,0.197346547028137,-0.0788598441422775,-0.457598765378104,-7.64252027764861
"I961569:250090799","nrTP_plus_IITA",-0.719073022994844,-0.19102987995353,-0.02625337067776,2.13179590077951,0.0699994118006148,-0.00401189467650604,-0.0193051289459936,-0.21219603122449,-0.330034828556573,-7.00187435352359
"I961613:250090822","nrTP_plus_IITA",1.10459649647709,-0.28609895812584,-0.0406900551309691,2.55072291663531,0.0528662463079552,-0.00123706468286773,0.0699913400694318,-0.171502956822581,0.0157200341732068,-3.61967863253279
"I961630:250300545","nrTP_plus_IITA",2.16362746907389,-0.418090451137768,-0.0374567686833606,1.72125512165878,0.00610685241819259,-0.00472840659180787,-0.0172411072252136,-0.0679809801187441,-0.544561261424673,-2.38216546818684
"I961632:250300546","nrTP_plus_IITA",4.18413713379497,0.066751035291503,0.030839781398753,2.81737216490543,0.0402863035120244,0.0208462620483533,0.0583591223643014,-0.138541407990995,0.0962240269120334,-0.230143382868169
"I961642:250300540","nrTP_plus_IITA",-1.13279033428517,-0.537855688305136,-0.117453680809562,-1.75488244865155,0.0215484622666256,0.0981329204631068,0.0848854099967721,-0.0128466993489703,-0.0767024461717828,-3.51831796895541
"I970103:250090820","nrTP_plus_IITA",5.02626177407551,0.337527463354002,-0.0581042978459909,0.816518214988678,0.0222511949179295,-0.0417836736173196,0.105782533726128,-0.116812375459369,-0.24822151847615,-0.949032466244082
"I970162:250090811","nrTP_plus_IITA",4.61679333831915,-0.224716582316761,-0.00979237121961389,-0.681760005300944,0.0146098105961499,0.0804014665589075,-0.00217218017884484,0.00133635483478179,-0.2655037151077,2.15173168622448
